state,occupied_perc,smocapi_35ormore_m_perc,smocapi_35more_nm_perc,utilitygas,bottled_tank,electricity,fueloil,coal_coke,wood,solar,other_fuel,total_fuel_user,value_50k_less,value_50000to99999,value_100000to149999,value_150000to199999,value_200000to299999,value_300000to499999,value_500000to999999,value_1M_more,house_median_value,year,date,abbrev,code,primary_key
Hawaii,85.9,38.6,9.5,9513,5529,144192,48,0,2020,6587,244,168133,2818,5140,6632,8734,29500,79071,102778,20027,487400,2011,1/1/2011,Hawaii,HI,HI_2011
Idaho,86,27.8,7,293858,29016,191360,11233,558,48446,41,4020,578532,30564,59260,91271,86189,77400,38132,12331,3669,158800,2011,1/1/2011,Idaho,ID,ID_2011
Illinois,89.4,29.9,13.8,3775580,192536,691344,11401,910,24902,485,22770,4719928,224056,493848,523741,549647,681656,494325,180295,42714,178500,2011,1/1/2011,Ill.,IL,IL_2011
Indiana,88.1,19.2,9.2,1521983,174851,667930,24780,3656,54510,641,13090,2461441,175877,468182,432559,291874,212994,104416,27304,6856,122400,2011,1/1/2011,Ind.,IN,IN_2011
Iowa,90.8,16.6,8.5,776366,164825,228200,11212,127,18963,501,11425,1211619,101321,225583,212034,145653,126054,52369,13343,4011,123400,2011,1/1/2011,Iowa,IA,IA_2011
Kansas,89,19.2,9.5,741873,85669,245189,1143,60,20305,152,5951,1100342,104151,178990,153637,127429,110083,51362,18384,3043,128300,2011,1/1/2011,Kans.,KS,KS_2011
Kentucky,86.5,20.8,9.3,653976,111448,824169,20656,4913,48585,157,5183,1669087,176443,282927,262852,174442,152191,71365,23430,7829,120600,2011,1/1/2011,Ky.,KY,KY_2011
Louisiana,86,22.8,9.4,600835,46531,1037631,759,86,11052,124,1334,1698352,177502,224450,205634,213048,183893,91548,28457,6162,139400,2011,1/1/2011,La.,LA,LA_2011
Maine,76.1,26.8,12.9,27427,42224,24723,379409,2005,68055,307,6480,550630,32701,53517,68586,79594,86169,50532,16131,4467,171600,2011,1/1/2011,Maine,ME,ME_2011
Maryland,89.3,27.7,13,941650,66964,856488,223651,2002,28097,203,9752,2128807,42003,57403,104180,175443,389609,420659,211492,36658,287100,2011,1/1/2011,Md.,MD,MD_2011
Massachusetts,89.8,29.1,18.2,1242643,65582,354007,806422,3076,40356,893,13919,2526898,30088,28017,70346,151080,408182,578071,253835,53660,326300,2011,1/1/2011,Mass.,MA,MA_2011
Michigan,83.4,25.5,13.7,2921386,330972,296289,55621,1200,125518,431,27290,3758707,409930,707551,555568,444042,355727,163110,53442,16910,118100,2011,1/1/2011,Mich.,MI,MI_2011
Minnesota,89.1,23.7,10.5,1398239,209605,335268,61157,524,54503,378,24942,2084616,93527,165280,260784,336656,373386,214508,67978,13330,183500,2011,1/1/2011,Minn.,MN,MN_2011
Mississippi,84.3,26.5,10.8,330395,136201,591471,1796,88,17645,34,1411,1079041,162076,215691,137578,105128,85859,33903,10884,3544,99900,2011,1/1/2011,Miss.,MS,MS_2011
Missouri,86,21.7,10,1220931,226158,781226,6310,371,95401,376,6738,2337511,182035,342114,358607,285475,245415,126123,43297,9965,136900,2011,1/1/2011,Mo.,MO,MO_2011
Montana,82.6,29.2,9.5,223151,48919,85153,6439,600,35469,60,3690,403481,27857,33062,40811,49032,66328,36424,14932,6124,184100,2011,1/1/2011,Mont.,MT,MT_2011
Nebraska,90.3,17.4,10.2,462089,56743,182958,4455,33,9141,44,6535,721998,56014,109786,131205,80276,68345,29123,7714,1845,127400,2011,1/1/2011,Nebr.,NE,NE_2011
Nevada,83,33.4,11.2,605079,28705,320235,6691,0,13633,464,5254,980061,42568,96537,116695,102508,99502,69731,20367,5083,158000,2011,1/1/2011,Nev.,NV,NV_2011
New Hampshire,83.6,29.1,18.1,100958,74416,40613,252159,910,37084,280,7019,513439,17098,19370,30345,63568,130867,86309,18516,2997,237500,2011,1/1/2011,N.H.,NH,NH_2011
New Jersey,88.9,36.7,24.5,2342608,58315,360855,376568,750,11869,332,7917,3159214,41357,63421,110236,195020,504091,730874,355075,60406,324900,2011,1/1/2011,N.J.,NJ,NJ_2011
New Mexico,84.5,26.5,8.7,519168,68149,118622,651,510,49063,2243,7559,765965,69731,81042,90709,91268,99712,60655,23899,5988,159000,2011,1/1/2011,N.M.,NM,NM_2011
New York,88.5,32.7,18.3,4014222,222634,707016,1979067,17807,143287,2728,63609,7150370,202845,459748,439717,371084,525642,968073,700312,184266,285300,2011,1/1/2011,N.Y.,NY,NY_2011
North Carolina,84.4,25.7,11,913246,316541,2181593,176758,289,78065,737,5314,3672543,235309,445257,504555,440800,426697,267037,107192,23055,153700,2011,1/1/2011,N.C.,NC,NC_2011
North Dakota,88.3,11.7,9.4,116695,38371,107612,11884,1248,1774,110,3538,281232,31464,37799,39967,34396,28130,10875,2699,924,128600,2011,1/1/2011,N.D.,ND,ND_2011
Ohio,88.4,23,10.8,3047262,239213,988313,127981,2750,89761,1080,28917,4525277,279067,761773,753810,545150,434678,192706,57418,15111,129600,2011,1/1/2011,Ohio,OH,OH_2011
Oklahoma,86.1,21.1,9,787024,110279,504418,1803,34,26159,35,11183,1440935,155112,270158,211763,145300,110473,50959,17941,5292,112600,2011,1/1/2011,Okla.,OK,OK_2011
Oregon,90.1,30.8,12.4,579429,24758,743350,45312,139,108177,822,11489,1513476,56941,44858,97181,169029,258960,204990,76982,13071,232900,2011,1/1/2011,Ore.,OR,OR_2011
Pennsylvania,88.5,24.8,13.2,2516883,178387,1019764,973749,67685,137625,1545,28259,4923897,311456,608422,582288,607307,694111,453255,147860,26324,164800,2011,1/1/2011,Pa.,PA,PA_2011
Rhode Island,88.7,31.6,20.7,209106,7816,34511,151784,584,5860,75,1590,411326,4958,7226,20355,45194,88552,58318,21113,4038,245500,2011,1/1/2011,R.I.,RI,RI_2011
South Carolina,82,26.5,10.7,419203,80666,1212210,27260,360,21253,233,2701,1763886,178667,250489,246673,188106,182465,108299,52775,16000,136000,2011,1/1/2011,S.C.,SC,SC_2011
South Dakota,88.2,17.6,9.5,156765,55101,89439,10902,271,5408,64,3130,321080,35820,41148,49603,41142,31498,16648,3550,1973,131400,2011,1/1/2011,S.D.,SD,SD_2011
Tennessee,87.2,24.7,9.5,824727,111139,1455110,11216,788,55810,690,2863,2462343,175251,368115,365087,284681,253066,145889,52716,15271,138300,2011,1/1/2011,Tenn.,TN,TN_2011
Texas,87.6,23.7,11.1,3298684,306275,5144371,10754,971,37767,1900,15650,8816372,681452,1367087,1222597,880231,766593,430446,167308,52586,127700,2011,1/1/2011,Tex.,TX,TX_2011
Utah,89,24.9,6.8,761814,19908,84352,1418,1590,10522,362,3540,883506,26959,26429,91461,145824,178194,106601,30621,7410,207500,2011,1/1/2011,Utah,UT,UT_2011
Vermont,79.3,27.8,19.3,39163,39551,10855,122786,632,41261,98,2834,257180,8864,13566,22779,38349,53888,33400,10692,1914,213700,2011,1/1/2011,Vt.,VT,VT_2011
Virginia,88.3,24.7,9.5,1015166,130965,1544516,193983,2818,85610,367,9091,2982516,101719,157238,227513,297857,472822,448650,264164,43632,243100,2011,1/1/2011,Va.,VA,VA_2011
Washington,90.5,29.2,10.8,933332,81173,1408123,70733,351,115346,951,15789,2625798,74813,70279,150412,261683,451863,425748,188029,30885,256300,2011,1/1/2011,Wash.,WA,WA_2011
West Virginia,83.4,20.1,6.7,304399,33112,311821,24115,5059,50993,74,4713,734286,116571,151186,96834,72920,60314,23505,7575,2487,99300,2011,1/1/2011,W.Va.,WV,WV_2011
Wisconsin,86.4,24.7,12.9,1484849,246414,333466,74110,326,107814,765,20056,2267800,78524,217298,346112,336099,345047,165063,44831,10934,166700,2011,1/1/2011,Wis.,WI,WI_2011
Wyoming,83.8,19.7,7,130525,22887,51264,1052,981,13459,139,2204,222511,16642,15745,26185,32940,38414,19754,4699,2844,179900,2011,1/1/2011,Wyo.,WY,WY_2011
Alabama,83.5,25.2,11,560206,142625,1081259,4306,154,20094,165,2208,1811017,208621,310378,234497,196046,184026,96265,32919,10094,123900,2010,1/1/2010,Ala.,AL,AL_2010
Alaska,82.9,22.6,10.2,121979,3998,26546,84963,490,13879,49,1884,253788,9693,8379,16791,23954,52605,39770,10623,970,241400,2010,1/1/2010,Alaska,AK,AK_2010
Arizona,82,31.9,9.7,825209,70037,1358732,1562,192,48836,1620,6421,2312609,132496,219688,287123,273011,302113,205916,80032,22559,168800,2010,1/1/2010,Ariz.,AZ,AZ_2010
Arkansas,84.6,20.5,8.3,457999,95090,505009,1649,0,49607,116,3065,1112535,145083,209334,155711,102337,82169,41087,12097,3750,106300,2010,1/1/2010,Ark.,AR,AR_2010
California,90.7,40.9,11.8,8289619,393137,3042396,35932,824,218319,12423,43325,12035975,248954,298063,419388,568411,1131786,1909175,1808683,518715,370900,2010,1/1/2010,Calif.,CA,CA_2010
Colorado,88.5,28.5,9.1,1447926,100015,350502,2742,1728,39577,2073,10588,1955151,65851,64220,144628,216670,364358,289969,120208,26888,236600,2010,1/1/2010,Colo.,CO,CO_2010
Connecticut,91.3,31.4,19.9,427850,39533,203568,650621,936,26373,299,7110,1356290,15235,20429,55321,122528,278420,268859,120976,41849,288800,2010,1/1/2010,Conn.,CT,CT_2010
Delaware,80.9,27.8,11.9,132098,35077,99495,57073,160,2573,34,1407,327917,14371,9655,18239,39242,76971,63697,13843,3866,243600,2010,1/1/2010,Del.,DE,DE_2010
District of Columbia,85,29.1,12.6,162481,2490,75313,8389,64,0,0,1391,250128,1900,1501,2652,3697,18179,36089,31574,11601,426900,2010,1/1/2010,D.C.,DC,DC_2010
Florida,78.2,39.3,15.7,324544,87923,6492160,19536,314,13035,1628,3257,6942397,417072,824035,865077,843051,916653,605738,235301,87203,164200,2010,1/1/2010,Fla.,FL,FL_2010
Georgia,85.1,29.4,11.9,1439275,207419,1781234,9986,206,33175,390,1928,3473613,219956,384154,482204,429668,399461,265550,99952,23220,156200,2010,1/1/2010,Ga.,GA,GA_2010
Hawaii,85.7,40.4,9.7,9045,4321,140601,114,0,1325,5443,417,161266,2432,3985,5307,10781,30096,68795,113356,23781,525400,2010,1/1/2010,Hawaii,HI,HI_2010
Idaho,86.3,26.9,9.1,301227,31483,183522,13320,280,40437,249,4841,575359,33728,47008,88105,85408,82728,44443,15450,4662,165100,2010,1/1/2010,Idaho,ID,ID_2010
Illinois,89.7,30.4,13,3817215,201279,663759,10714,602,22983,843,19224,4736619,220260,447724,475280,541404,716510,560941,206599,50620,191800,2010,1/1/2010,Ill.,IL,IL_2010
Indiana,88.3,20,7.9,1527016,179701,659543,29396,3344,53848,646,12114,2465608,173940,467179,437693,292678,223734,103555,30907,7065,123300,2010,1/1/2010,Ind.,IN,IN_2010
Iowa,91.5,18.1,8.3,787742,166138,220296,9510,109,19924,184,13059,1216962,105709,227064,216682,141492,124543,51159,15084,3551,123400,2010,1/1/2010,Iowa,IA,IA_2010
Kansas,89.3,19,9.2,763181,88994,222889,1449,81,18266,69,5133,1100062,107732,184281,146813,132318,110637,49604,14716,3806,127300,2010,1/1/2010,Kans.,KS,KS_2010
Kentucky,87.3,22.3,8.7,655820,111306,835138,20121,5026,49069,360,5082,1681922,184545,275819,257901,181843,156315,70901,22227,6741,121600,2010,1/1/2010,Ky.,KY,KY_2010
Louisiana,85.9,23.5,9,629224,44519,997933,1019,165,11616,147,1412,1686035,178784,229868,210904,207466,188742,91591,27013,7136,137500,2010,1/1/2010,La.,LA,LA_2010
Maine,75.5,25.3,13.5,23135,36617,27813,384021,1297,65520,446,5177,544026,27006,56964,63119,79468,97765,50356,17051,4666,179100,2010,1/1/2010,Maine,ME,ME_2010
Maryland,89.4,28.6,13,947948,63253,832013,240788,2006,26358,313,8768,2121447,40489,47624,81635,149102,390341,451871,225771,39434,301400,2010,1/1/2010,Md.,MD,MD_2010
Massachusetts,89.7,29.9,17,1234502,70046,341806,810266,3149,38813,880,14235,2513697,27170,24155,62225,138386,402289,592151,266952,55054,334100,2010,1/1/2010,Mass.,MA,MA_2010
Michigan,84,27.9,13.3,2955744,331330,284011,61775,986,128481,693,29960,3792980,379932,682043,600830,470279,380086,184703,55534,16067,123300,2010,1/1/2010,Mich.,MI,MI_2010
Minnesota,89.1,24.2,10.2,1404878,214285,312238,65801,354,54493,237,26135,2078421,88397,139498,236063,334189,405273,234759,75432,13717,194300,2010,1/1/2010,Minn.,MN,MN_2010
Mississippi,84.6,27.2,10.3,347171,146694,564029,1863,0,17256,37,933,1077983,162506,214040,137185,103728,83643,37162,10342,4768,100100,2010,1/1/2010,Miss.,MS,MS_2010
Missouri,86.6,22.4,9.4,1235745,236581,765714,6187,38,92774,354,8606,2345999,183965,346005,353035,293297,261674,127638,44276,11481,139000,2010,1/1/2010,Mo.,MO,MO_2010
Montana,83.4,28.2,8.8,224327,51997,79763,6655,955,34549,383,3410,402039,31260,35202,37202,54383,65112,39755,12973,4746,181200,2010,1/1/2010,Mont.,MT,MT_2010
Nebraska,90.2,19,9.3,455836,55346,181557,5469,44,11297,194,7090,716833,55042,113289,134781,79083,67716,25162,7791,1785,127600,2010,1/1/2010,Nebr.,NE,NE_2010
Nevada,84.2,35.3,12.6,638719,31061,288359,8664,656,15273,504,4024,987260,39371,74463,103169,107679,129477,78388,25961,7361,174800,2010,1/1/2010,Nev.,NV,NV_2010
New Hampshire,83.8,30.3,18.3,100857,70863,41909,253772,416,40272,85,4752,512926,16865,17565,31748,54214,134721,87240,22841,4254,243000,2010,1/1/2010,N.H.,NH,NH_2010
New Jersey,89.2,36.5,24,2344455,63241,343112,392540,676,11886,325,8439,3164674,37703,57252,95722,180945,489118,789573,392987,63428,339200,2010,1/1/2010,N.J.,NJ,NJ_2010
New Mexico,84.8,27.5,9,520740,74284,110797,1008,234,50925,2288,4052,764328,71265,78955,84542,91287,105370,57569,24944,5932,161200,2010,1/1/2010,N.M.,NM,NM_2010
New York,88.8,32.6,17.7,3961085,227607,676262,2068004,19949,143242,1823,61664,7159636,203287,472887,424871,355932,511830,984120,764619,186577,296500,2010,1/1/2010,N.Y.,NY,NY_2010
North Carolina,84.7,26.3,11.8,915058,330382,2133012,196475,1105,77417,898,5676,3660023,243876,443529,501594,428981,433446,276092,111636,26397,154200,2010,1/1/2010,N.C.,NC,NC_2010
North Dakota,88.2,12.6,7.9,112756,41337,104750,12532,828,1632,73,4035,277943,36488,38600,39766,34559,26773,8697,1951,839,123000,2010,1/1/2010,N.D.,ND,ND_2010
Ohio,88.2,23.6,10.6,3078580,245719,927014,130937,4342,93479,802,29949,4510822,268033,724887,780103,570128,470439,212034,54666,14907,134400,2010,1/1/2010,Ohio,OH,OH_2010
Oklahoma,86,21.5,8.5,799757,110248,476597,1512,140,28411,55,14278,1430998,164106,264491,226546,137972,108184,49790,15452,4837,111400,2010,1/1/2010,Okla.,OK,OK_2010
Oregon,89.9,32.1,11.1,575902,23995,735319,50177,0,105601,511,11225,1502730,62096,41236,82109,145294,287427,228343,82948,13221,244500,2010,1/1/2010,Ore.,OR,OR_2010
Pennsylvania,88.6,24.8,12.4,2530446,177562,997925,993832,67764,126074,597,29423,4923623,311217,619718,590335,573732,708723,472616,154846,30491,165500,2010,1/1/2010,Pa.,PA,PA_2010
Rhode Island,86.8,34.4,18.1,197703,7793,35706,151847,125,7084,0,814,401072,5483,3922,14673,44147,89682,61358,20056,5195,254500,2010,1/1/2010,R.I.,RI,RI_2010
South Carolina,82.3,26.4,11.2,414416,83848,1207780,30874,0,17808,219,1822,1756767,170091,244748,244565,189710,180891,113259,50050,16846,138100,2010,1/1/2010,S.C.,SC,SC_2010
South Dakota,87.6,16.7,9.1,155638,53407,85447,9105,276,7259,119,5588,316839,36338,42972,47413,39511,28859,16033,4152,1543,129700,2010,1/1/2010,S.D.,SD,SD_2010
Tennessee,86.7,25.1,8.9,826781,112833,1427914,15335,1307,49790,282,2114,2436356,170505,360822,376715,282894,249522,155237,52731,14342,139000,2010,1/1/2010,Tenn.,TN,TN_2010
Texas,87.4,24.7,10.5,3315579,326201,4989013,10062,311,41677,332,17206,8700381,680245,1358574,1222397,896578,752623,432512,165839,47135,128100,2010,1/1/2010,Tex.,TX,TX_2010
Utah,89.6,25.9,6,751818,21259,89581,1919,1432,10793,287,2166,879255,24649,22960,81238,138293,195339,111247,35354,6062,217200,2010,1/1/2010,Utah,UT,UT_2010
Vermont,79.6,28.2,18.5,41357,35529,13667,122832,597,38777,122,3182,256063,9177,11589,22451,37533,52768,34213,10520,2596,216800,2010,1/1/2010,Vt.,VT,VT_2010
Virginia,88.8,25.4,9.5,1027967,138687,1514678,208176,3242,83925,130,7582,2984387,115034,139388,209587,289468,478667,469334,280134,43628,249100,2010,1/1/2010,Va.,VA,VA_2010
Washington,90.2,30.3,10.8,924131,84272,1384990,73380,304,115190,680,17115,2600062,72372,64396,132808,217717,457298,456593,206915,36840,271800,2010,1/1/2010,Wash.,WA,WA_2010
West Virginia,84.1,18.6,6.7,317757,35512,302804,28559,5609,46066,331,4254,740892,122812,167253,92746,73238,63360,25368,5653,2999,95100,2010,1/1/2010,W.Va.,WV,WV_2010
Wisconsin,86.8,25.7,11.9,1488259,250022,320964,81908,308,106608,345,22028,2270442,79716,213097,336426,337190,363355,176687,49405,10163,169400,2010,1/1/2010,Wis.,WI,WI_2010
Wyoming,84.9,19.9,6,142370,22173,42659,922,906,11071,445,1855,222401,16358,14804,25104,33687,38232,17281,6739,3073,180100,2010,1/1/2010,Wyo.,WY,WY_2010
