state,occupied_perc,smocapi_35ormore_m_perc,smocapi_35more_nm_perc,utilitygas,bottled_tank,electricity,fueloil,coal_coke,wood,solar,other_fuel,total_fuel_user,value_50k_less,value_50000to99999,value_100000to149999,value_150000to199999,value_200000to299999,value_300000to499999,value_500000to999999,value_1M_more,house_median_value,year,date,abbrev,code,primary_key
Kentucky,86.8,17.3,9.2,636965,110523,911907,14000,3380,43532,508,5635,1726450,137766,225279,229209,206699,199446,121139,38999,9192,148100,2018,1/1/2018,Ky.,KY,KY_2018
Louisiana,83.7,20,8.2,572612,30367,1118248,1084,91,7104,1365,1418,1732289,128227,171692,182226,213251,236182,149259,45576,11111,167300,2018,1/1/2018,La.,LA,LA_2018
Maine,76.4,19.2,11.9,44328,61194,41759,355904,1103,54843,1169,8683,568983,27301,46793,62706,69072,100651,71354,22661,5688,197500,2018,1/1/2018,Maine,ME,ME_2018
Maryland,90.1,19.5,10.3,956824,80754,944809,176897,2673,26454,6019,9623,2204053,40655,51279,89181,129659,353548,509373,260990,47984,324800,2018,1/1/2018,Md.,MD,MD_2018
Massachusetts,90,22.7,16.3,1374460,92227,434646,657583,1627,28621,3078,20618,2612860,23748,20789,47436,99492,292166,572991,458150,105940,400700,2018,1/1/2018,Mass.,MA,MA_2018
Michigan,85.8,17,11.4,3009520,332085,407077,40558,891,110656,1280,36367,3938434,305613,464096,492633,484374,552961,374439,119965,23403,162500,2018,1/1/2018,Mich.,MI,MI_2018
Minnesota,89.4,15.5,9.4,1431179,237190,397513,37345,437,43772,635,27162,2175233,69519,105052,171114,259729,459715,365907,118802,18101,235400,2018,1/1/2018,Minn.,MN,MN_2018
Mississippi,83.2,19,9.9,329840,123545,634392,3171,0,12482,180,1222,1104832,126140,184527,133006,120385,118273,54220,14798,4846,123300,2018,1/1/2018,Miss.,MS,MS_2018
Missouri,86.8,15.8,9.2,1218643,213759,902139,4966,882,77808,870,9010,2428077,146715,273376,301792,291401,325397,201836,71354,13983,162600,2018,1/1/2018,Mo.,MO,MO_2018
Montana,83.7,21.8,10.5,225236,56685,105015,3734,383,34624,112,3890,429679,19641,20756,27471,38070,76360,72866,28559,7295,249200,2018,1/1/2018,Mont.,MT,MT_2018
Nebraska,90.6,14.4,9.9,460086,58072,226898,3114,44,8610,295,5144,762263,44092,75402,105100,100337,97706,63923,15725,3381,161800,2018,1/1/2018,Nebr.,NE,NE_2018
Nevada,89.1,22.6,8.3,646974,26003,417183,5834,90,17336,2975,7316,1123711,25949,20767,37232,60025,193272,218751,70653,14902,292200,2018,1/1/2018,Nev.,NV,NV_2018
New Hampshire,83.2,20.2,16,113986,86695,50260,232152,641,35632,411,8224,528001,16229,16575,30038,47005,113372,116447,32923,6153,270000,2018,1/1/2018,N.H.,NH,NH_2018
New Jersey,89.6,25.7,18.9,2435183,67930,437888,258889,992,12069,4626,14313,3231890,49934,54308,111026,187467,447341,709806,439086,79980,344000,2018,1/1/2018,N.J.,NJ,NJ_2018
New Mexico,84.2,22.9,8.7,501370,57254,165963,1081,338,53840,3081,7711,790638,57622,65750,83480,97672,113120,72925,27048,7732,174700,2018,1/1/2018,N.M.,NM,NM_2018
New York,88.1,25.6,15.9,4397917,308020,890554,1459976,16943,120159,6022,82621,7282212,172766,364799,417244,372002,531638,874661,886233,334442,325500,2018,1/1/2018,N.Y.,NY,NY_2018
North Carolina,85.6,18.7,8.7,992077,268167,2552432,111718,317,62478,1202,5059,3993450,195262,385695,432747,438308,522716,437356,169082,31738,180600,2018,1/1/2018,N.C.,NC,NC_2018
North Dakota,84.6,11.4,8.3,129563,45025,128042,7346,630,1240,12,3831,315689,21151,22521,23273,33663,53140,34408,10029,1282,198700,2018,1/1/2018,N.D.,ND,ND_2018
Ohio,89.8,16,9,3067626,244785,1137973,93915,3439,78335,796,38880,4665749,256342,616521,655486,548703,561310,335811,95794,16259,151100,2018,1/1/2018,Ohio,OH,OH_2018
Oklahoma,85.2,16.5,8.3,759085,100674,584523,3353,578,22935,168,10644,1481960,113376,215468,193131,168728,151422,89821,31823,8221,140000,2018,1/1/2018,Okla.,OK,OK_2018
Oregon,91.7,23,11.1,617243,26707,845916,28320,85,100126,2130,12903,1633430,51279,30362,45024,72276,217597,380712,203688,23915,341800,2018,1/1/2018,Ore.,OR,OR_2018
Pennsylvania,88.8,18.5,11.7,2592386,225476,1198450,806761,57582,128110,2197,35172,5046134,241170,490116,544476,608710,756336,585197,212753,39887,186000,2018,1/1/2018,Pa.,PA,PA_2018
Rhode Island,86.7,24.3,15.5,226173,11618,41491,117880,132,4634,313,2687,404928,6013,5218,13998,32373,88740,74968,23761,6283,273800,2018,1/1/2018,R.I.,RI,RI_2018
South Carolina,83.2,19.6,9.4,438188,67015,1382708,15078,108,13882,2142,2209,1921330,143944,209961,210360,214176,264317,190630,81703,20395,170800,2018,1/1/2018,S.C.,SC,SC_2018
South Dakota,86.9,14.8,8.4,161455,55267,109872,5712,203,6415,5,4023,342952,25533,31751,36746,44137,50490,33952,9747,2131,171500,2018,1/1/2018,S.D.,SD,SD_2018
Tennessee,87,18,7.7,825532,88075,1627963,10401,104,38979,274,3642,2594970,125250,269048,285889,297996,359756,263741,99741,22563,177500,2018,1/1/2018,Tenn.,TN,TN_2018
Texas,88.1,20.5,10,3472727,276111,5927999,8778,1349,27474,7922,13405,9735765,496200,904640,895032,951479,1265053,1014360,406459,100859,186000,2018,1/1/2018,Tex.,TX,TX_2018
Utah,90.1,16.5,7,820514,20935,134529,1034,826,12921,1694,4343,996796,25113,13768,32934,67090,207704,253484,90013,13877,303300,2018,1/1/2018,Utah,UT,UT_2018
Vermont,77.5,22.7,18.1,47328,44423,14122,108961,532,40731,819,3930,260846,7851,11764,22643,33450,54390,42724,13133,2843,233100,2018,1/1/2018,Vt.,VT,VT_2018
Virginia,89.7,18.5,9.3,1054657,131055,1757556,139770,1459,66813,1606,9664,3162580,92154,136973,186457,265994,441955,535969,370876,62827,281700,2018,1/1/2018,Va.,VA,VA_2018
Washington,92,21.4,11,1002191,90813,1617610,46311,290,108328,2291,16429,2884263,64706,45128,78671,121172,342392,600582,447967,118370,373100,2018,1/1/2018,Wash.,WA,WA_2018
West Virginia,82.2,17.3,7.9,295605,34254,332682,22321,3680,39801,174,4429,732946,85199,134217,99854,82624,77749,40816,9935,2280,121300,2018,1/1/2018,W.Va.,WV,WV_2018
Wisconsin,87.5,16.6,10.3,1565341,276217,369997,44391,434,79848,693,21354,2358275,71756,185909,294745,303682,396683,255882,69064,14719,188500,2018,1/1/2018,Wis.,WI,WI_2018
Wyoming,82.6,17.3,8.2,141898,22466,51421,534,872,10778,277,1027,229273,12798,7638,15284,29468,48266,30868,12702,4788,230500,2018,1/1/2018,Wyo.,WY,WY_2018
Alabama,81.5,17.4,7.4,494568,106561,1213135,2594,100,16806,60,1438,1835262,167237,262856,233845,201043,209569,125711,43631,9307,141300,2017,1/1/2017,Ala.,AL,AL_2017
Alaska,79.1,21.3,10.4,120375,4456,33262,74844,571,12492,194,2365,248559,11347,6983,10374,18203,44537,53198,13400,1302,273100,2017,1/1/2017,Alaska,AK,AK_2017
Arizona,85.1,21.2,8.7,830017,69551,1560459,1069,232,49249,17871,3987,2532435,123521,127376,193371,273719,418615,354447,134311,26961,223400,2017,1/1/2017,Ariz.,AZ,AZ_2017
Arkansas,84.2,15.9,6.7,440170,75397,591893,1380,0,38367,270,3151,1150628,102510,180357,157926,120999,111757,55947,18868,4035,128500,2017,1/1/2017,Ark.,AR,AR_2017
California,91.7,29.6,12.7,8370720,420817,3452150,32051,1464,197217,80261,40946,12595626,190316,155554,184328,274885,781917,1912655,2554234,1071201,509400,2017,1/1/2017,Calif.,CA,CA_2017
Colorado,89.7,19.7,9.1,1483056,98538,483786,1823,1049,39595,7200,14457,2129504,47265,42170,60134,105522,292816,522714,277488,46715,348900,2017,1/1/2017,Colo.,CO,CO_2017
Connecticut,89.4,23.4,16.7,478136,55608,219208,562247,1523,24510,1029,10257,1352518,16118,28007,80822,143985,242448,235988,108670,42196,273100,2017,1/1/2017,Conn.,CT,CT_2017
